ensemble,top_n,policy,hold_floor,score_edge,fold,cost_bps,days,total_return,cagr,max_drawdown,annual_turnover,trade_days,execution_skips,positive_month_share,total_cost_fraction_sum,execution_skip_rate,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown
H20,20,EVENT_STRICT,0.85,0.1,WF_2019_2020,20.0,505,2.1558666629466443,0.774455636734632,-0.35655868237260646,1.9248890925386766,62,0,0.7083333333333334,0.007714833267714537,0.0,,,
H20,20,EVENT_STRICT,0.85,0.1,WF_2019_2020,40.0,505,2.1316048867255883,0.7676351239650556,-0.35682075537057434,1.9248890925386766,62,0,0.7083333333333334,0.015429666535429074,0.0,,,
H20,20,EVENT_STRICT,0.85,0.1,WF_2021_2022,20.0,503,0.2362313070111166,0.11209379937604957,-0.24208456016779956,1.9003827646631293,58,0,0.5416666666666666,0.007586448655758365,0.0,,,
H20,20,EVENT_STRICT,0.85,0.1,WF_2021_2022,40.0,503,0.22688481175479835,0.10787348702081268,-0.24334281327289786,1.9003827646631293,58,0,0.5416666666666666,0.01517289731151673,0.0,,,
H60,5,MONTHLY,,,WF_2019_2020,20.0,505,1.818431799546465,0.6770971198126283,-0.32736705102168795,4.604212543095171,24,0,0.7083333333333334,0.018453391541770333,0.0,,,
H60,5,MONTHLY,,,WF_2019_2020,40.0,505,1.766828778070137,0.6617035047985542,-0.32790558821062143,4.604212543095171,24,0,0.7083333333333334,0.036906783083540666,0.0,,,
H60,5,MONTHLY,,,WF_2021_2022,20.0,503,-0.41318469188059936,-0.23436707841954096,-0.5978802291668925,2.643303565778118,24,0,0.375,0.010552235663384075,0.0,,,
H60,5,MONTHLY,,,WF_2021_2022,40.0,503,-0.41935055544929956,-0.2384080769648097,-0.5999224919093413,2.643303565778118,24,0,0.375,0.02110447132676815,0.0,,,
H60,5,WEEKLY,,,WF_2019_2020,20.0,505,1.629918318973433,0.6201504497418104,-0.42793927566762635,11.950842768053198,105,0,0.75,0.04789821903068941,0.0,,,
H60,5,WEEKLY,,,WF_2019_2020,40.0,505,1.5067910147314252,0.5818448984292821,-0.43009547875236986,11.950842768053198,105,0,0.75,0.09579643806137882,0.0,,,
H60,5,WEEKLY,,,WF_2021_2022,20.0,503,-0.3865660036922176,-0.21716009777857892,-0.5689466388715089,5.319440895731375,104,0,0.375,0.021235545798038744,0.0,,,
H60,5,WEEKLY,,,WF_2021_2022,40.0,503,-0.3994641271722108,-0.2254502157995696,-0.5734716854251376,5.319440895731375,104,0,0.375,0.04247109159607749,0.0,,,
