sample,entry_signal_date,current_new_positions,candidate_positive_positions,positive_fraction,observations,current_effective_n,candidate_effective_n,gross_entry_weight,minimum_variance,current_variance,candidate_variance,risk_ratio,current_alpha_daily,candidate_alpha_daily,alpha_uplift_daily
PRE2025_OOF,2019-04-29,6,4,0.6666666666666666,120,3.9598862653458764,3.0460787405479017,0.0809315489441507,9.084607338066828e-07,9.650835432793009e-07,9.650835432793813e-07,1.0000000000000835,1.1127078133626131e-05,1.1799101134964703e-05,6.720230013385722e-07
PRE2025_OOF,2019-05-07,5,4,0.8,120,2.737199057072704,2.800272332261946,0.0493686271945887,4.0560014888357086e-07,4.305311971735894e-07,4.3053119717363205e-07,1.000000000000099,6.409327799855396e-06,6.902839227831379e-06,4.935114279759832e-07
PRE2025_OOF,2019-06-05,7,6,0.8571428571428571,120,2.8510492141084756,2.3067332782091934,0.1455397605973505,2.1377920650588053e-06,2.7090858339247116e-06,2.7090858339255103e-06,1.0000000000002949,3.3894988669210686e-05,3.5352173126637595e-05,1.4571844574269089e-06
PRE2025_OOF,2019-06-11,5,4,0.8,120,2.4017404328786904,2.7034022004729765,0.07405021751055009,7.0799162582658e-07,7.267643031830207e-07,7.267643031836359e-07,1.0000000000008464,6.809447448406198e-06,7.2549620635309195e-06,4.4551461512472177e-07
PRE2025_OOF,2019-06-18,8,8,1.0,120,6.241577660432481,4.981941105194777,0.056959581764872105,3.7021012534422446e-07,4.2023704297579183e-07,4.2023704297615986e-07,1.0000000000008757,5.994053065445185e-06,6.346271304444853e-06,3.5221823899966836e-07
PRE2025_OOF,2019-07-09,5,4,0.8,120,2.2294229571283615,2.2221611286676595,0.1334964071507238,1.6581399650783794e-06,1.7789812586006103e-06,1.7789812586019404e-06,1.0000000000007476,3.221759796020616e-05,3.3474650237337686e-05,1.2570522771315288e-06
PRE2025_OOF,2019-07-23,8,5,0.625,120,2.9227542428431437,3.595154504810929,0.4311064267930613,3.968397517888654e-06,4.776665840873619e-06,4.77666584087746e-06,1.0000000000008042,9.220525819609329e-05,9.860893969961971e-05,6.403681503526422e-06
PRE2025_OOF,2019-07-24,6,4,0.6666666666666666,120,4.38240138874017,2.4495056863632523,0.067578983866772,2.5350634838130124e-07,2.773483062799668e-07,2.773483062800748e-07,1.0000000000003895,5.931820345047169e-06,6.401741274298682e-06,4.6992092925151325e-07
PRE2025_OOF,2019-07-25,5,5,1.0,120,3.7538825517625867,4.385617273476139,0.1353400789576436,4.1288158351970633e-07,4.579897361372165e-07,4.579897361374901e-07,1.0000000000005973,1.5161026644281599e-05,1.56667041067535e-05,5.056774624719031e-07
PRE2025_OOF,2019-07-26,11,7,0.6363636363636364,120,5.858380230596223,5.673647123372905,0.1449754063676275,1.389042290195197e-06,1.8640632583353761e-06,1.8640632583359955e-06,1.0000000000003322,3.310322485269527e-05,3.814573906410618e-05,5.042514211410909e-06
PRE2025_OOF,2019-07-29,8,7,0.875,120,4.236921152458707,4.1504283014833625,0.4457904720524458,1.8776765635718868e-06,2.4265561122345526e-06,2.426556112235287e-06,1.0000000000003026,7.127801697368968e-05,7.610743192714881e-05,4.82941495345913e-06
PRE2025_OOF,2019-07-30,11,8,0.7272727272727273,120,8.681287070533712,2.932908080789089,0.1316314396942462,9.973494243274823e-07,1.739344325843836e-06,1.7393443258448406e-06,1.0000000000005775,2.8163622809582865e-05,3.470194476035596e-05,6.538321950773093e-06
PRE2025_OOF,2019-08-01,7,7,1.0,120,6.491447174963961,6.044690194302302,0.052601343198110495,1.4150822976114532e-07,1.7531033429756256e-07,1.7531033429767847e-07,1.0000000000006612,6.51575455115663e-06,6.7683026224434095e-06,2.525480712867792e-07
PRE2025_OOF,2019-08-02,7,7,1.0,120,4.195722726323835,4.086405861082719,0.1780997234259874,1.0624101914242417e-06,1.2148027502754962e-06,1.2148027502762287e-06,1.0000000000006029,4.2137264974823706e-05,4.251871094595933e-05,3.8144597113562635e-07
PRE2025_OOF,2019-08-05,12,6,0.5,120,6.262434228707765,2.6731222373875196,0.1539184685436542,1.4205852207462807e-06,2.0937294584193307e-06,2.093729458420538e-06,1.0000000000005766,3.169748394879176e-05,3.650513121100433e-05,4.807647262212574e-06
PRE2025_OOF,2019-08-06,7,7,1.0,120,3.663489877258726,3.6015282016701486,0.2179663421947755,1.9296040458468765e-06,2.1468278337709757e-06,2.146827833772623e-06,1.0000000000007674,5.8842470131812356e-05,5.9248208619990226e-05,4.057384881778702e-07
PRE2025_OOF,2019-08-08,5,5,1.0,120,3.077725735898022,3.106630574744964,0.1574620872533333,1.764686198534546e-06,2.103027745119461e-06,2.1030277451210916e-06,1.0000000000007754,3.6169798455550015e-05,3.6329872113307614e-05,1.6007365775759898e-07
PRE2025_OOF,2019-08-23,7,6,0.8571428571428571,120,4.950238664476705,3.5642791177886304,0.1555699039119123,1.1931815036879284e-06,1.4539590831844225e-06,1.4539590831853557e-06,1.000000000000642,2.8328311671993515e-05,3.113672888286547e-05,2.808417210871954e-06
PRE2025_OOF,2019-09-03,5,5,1.0,120,3.585441238933983,3.6806572888456617,0.07167332176791481,8.369841699655726e-07,9.582555012170385e-07,9.582555012220593e-07,1.0000000000052396,1.1878778757423372e-05,1.2427127393784976e-05,5.483486363616036e-07
PRE2025_OOF,2019-09-11,5,5,1.0,120,2.1294942764796922,3.1084052414051913,0.107125288970967,9.86789324260495e-07,1.3128256576139832e-06,1.3128256576146689e-06,1.0000000000005222,8.735772982435992e-06,1.0771711965955762e-05,2.03593898351977e-06
PRE2025_OOF,2019-10-01,6,5,0.8333333333333334,120,3.0505213980525445,3.191382830959687,0.1495673839396209,7.722498956132864e-07,8.789728624769647e-07,8.789728624770787e-07,1.0000000000001297,1.6315927089492996e-05,1.669713875991975e-05,3.81211670426753e-07
PRE2025_OOF,2019-10-14,6,6,1.0,120,3.6265157653568965,3.788885552882178,0.09035885654964841,8.139220983975716e-07,9.499503010243115e-07,9.499503010252319e-07,1.000000000000969,1.9595663024360747e-05,2.029398565976715e-05,6.983226354064037e-07
