metric,sample,scope,quintile,lifecycles,signal_dates,mean_exante_metric,mean_target_weight,mean_holding_sessions,exposure_nav_days,net_pnl_nav_units,net_active_pnl_nav_units,daily_net_on_exposure,daily_net_active_on_exposure,positive_pnl_rate,positive_active_rate
CONVICTION,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,4,119,119,0.03223857868847246,0.010059741544023537,10.764705882352942,30.95623422146736,0.08578195313992563,0.014515052521494329,0.002771071976204329,0.0004688894785344566,0.6554621848739496,0.5714285714285714
CONVICTION,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,5,338,338,0.04302800496624223,0.013704224606001836,16.819526627218934,162.5730053267677,0.18827614737182435,-0.30624591325773637,0.001158102152281641,-0.0018837439379446154,0.5887573964497042,0.5207100591715976
CONVICTION,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,1,156,123,0.022345563337837427,0.011347445365342582,18.32051282051282,143.12341185943097,0.18186978444987958,0.03837160464539708,0.001270720017690072,0.00026810152264315675,0.5576923076923077,0.4551282051282051
CONVICTION,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,2,170,123,0.029484408531703404,0.01390228044515717,17.75294117647059,188.6215085168738,0.3344444375006814,0.0788482305810348,0.0017730980953890659,0.0004180235393143468,0.5823529411764706,0.4470588235294118
CONVICTION,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,3,177,123,0.03799563589105759,0.01682462106595979,33.717514124293785,396.7378068448093,0.5650580758382313,0.15161964861117327,0.0014242607235545447,0.00038216586873073547,0.5706214689265536,0.4689265536723164
CONVICTION,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,4,170,123,0.04832669409818352,0.01673153336441175,37.11176470588235,437.60983562451275,0.46728161902896825,-0.045715425163314956,0.0010678041967729333,-0.00010446617384198986,0.611764705882353,0.5470588235294118
CONVICTION,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,5,224,123,0.06634249268748825,0.02142399116180844,52.736607142857146,754.5600475379263,1.1997523849086829,0.4735314190752382,0.0015900025303796383,0.0006275596231477353,0.6160714285714286,0.4955357142857143
CONVICTION,PRE2025_OOF,SPARSE_ENTRY_DATE,2,282,282,0.02470365577875286,0.009501269895554233,12.404255319148936,252.2953200569804,0.1554146354832638,-0.1155426099172831,0.0006160028471719718,-0.0004579657279857115,0.5177304964539007,0.450354609929078
CONVICTION,PRE2025_OOF,SPARSE_ENTRY_DATE,3,425,425,0.028927084131016342,0.009117074548360329,15.24470588235294,330.8665280633097,0.4811092713249111,0.13387173790376172,0.0014540886747929159,0.000404609492194224,0.5647058823529412,0.5364705882352941
CONVICTION,PRE2025_OOF,SPARSE_ENTRY_DATE,4,282,282,0.03370168216567588,0.011477752429851057,23.120567375886523,363.549320277175,0.30559927156346656,-0.013245455791291091,0.0008405992103917935,-3.643372453892246e-05,0.5602836879432624,0.5106382978723404
CONVICTION,PRE2025_OOF,SPARSE_ENTRY_DATE,5,1023,1023,0.04260481750596482,0.014042547806820089,19.020527859237536,1281.052063357568,0.6431573960721935,-0.49256020621771535,0.0005020540651458871,-0.00038449663390474685,0.5738025415444771,0.5219941348973607
